,Step,Cell#,Current_value,Target_value,Change_value,Count,Total_change,check
0,23,66,2,4,2,1,2,False
1,34,75,3,0,-3,1,-3,False
2,89,25,1,4,3,2,6,False
3,116,38,2,0,-2,1,-2,False
4,550,75,0,4,4,5,20,False
5,596,90,0,1,1,9,9,False
0,1825,98,9,8,-1,7,29,True
2,2292,11,1,2,1,48,18,True
3,2360,97,7,8,1,46,21,True
5,2411,39,6,5,-1,119,16,True
7,2439,33,6,7,1,99,15,True
9,2471,4,4,3,-1,68,8,True
10,2478,61,3,2,-1,180,11,True
11,2486,92,4,5,1,182,12,True
